448;Piotr;Krysiak
449;Naval;
450;Zuzanna;Szkandera
451;Rupi;Kaur
452;Łukasz; Maziewski
453;Kafir;
454;Bartosz;Brożek
455;Jerzy;Stelmach
456;Michał;Heller
457;Mariusz;Mazur
458;Rosie;Dickins
459;Leonard;J. Pełka
460;Nicola;Sutcliff
461;Suzanne;Collins
462;Birger;Amundsen
463;Isabel;Sterling
464;Adele;Faber
465;Elaine;Mazlish
466;Roberta;Rossi
467;Filip;Majewski
468;Mollie;Tunitsky
469;Nick;Bilton
470;Saifedean;Ammous
471;Magdalena;Majcher
472;Jostein;Gaarder
473;Robert;Winckiewicz
474;Jung;Chang
475;Alfred;Szklarski
476;Jill;Lepore
477;Małgorzata;Gutowska-Adamczyk
478;Thomas;Erikson
479;Witold;Bereś
480;Krystyna;Mirek
481;New;Scientist
482;David;Rubenstein
483;Jan;Pelczar
484;Kot;Nieteraz
485;Charlie;LeDuff
486;Michał;Kołodziejczyk
487;Anita;Werner
488;Józef;Białek
489;Matt;Alt
490;Art;Davidson
491;Michał;Ogórek
492;Jerzy;Bralczyk
493;Stephen;R. Covey
494;Grażyna;Jeromin-Gałuszka
495;Henryk;Jerzy Chmielewski
496;Marta;Hennig-Kruk
497;Agnieszka;Lingas-Łoniewska
498;Aleksandra;Zbroja
499;Josie;Silver
500;Kristin;Harmel
501;Łukasz;Rydzik
502;Jerzy;Bassa
503;Krzysztof;Mika
504;Klaudia;Pingot
505;Deborah;Feldman
506;Rachael;Lippincott
507;Mikki;Daughtry
508;Adam;Higginbotham
509;Joanna;Zielewska
510;Kevin;Lacz
511;Marek;Aureliusz
512;Paulina;Młynarska
513;Hugh;Lofting
514;Marek;Rybarczyk
515;Fannie;Flagg
516;Katarzyna;Zdanowicz
